ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'105','Miss','Laura','Mabel','','Francatelli','','1','Secretary','31','London, England','First','1','Survived','Cherbourg','New York City, New York, USA','1','',51.506325,-0.127144
'106','Sir','Cosmo','Edmund','','Duff Gordon','','0','','49','London, England','First','1','Survived','Cherbourg','New York City, New York, USA','1','',51.506325,-0.127144
'107','Mr.','William','Crothers','','Dulles','','0','','39','Philadelphia, Pennsylvania, USA','First','0','Died','Cherbourg','Philadelphia, Pennsylvania, USA','','133MB',39.95228,-75.162454
'108','Mrs.','Olive','','','Earnshaw','Potter','0','','23','Philadelphia, Pennsylvania, USA','First','1','Survived','Cherbourg','Philadelphia, Pennsylvania, USA','7','',39.95228,-75.162454
'109','Miss','Elizabeth','Mussey','','Eustis','','0','','54','Brookline, Massachusetts, USA','First','1','Survived','Cherbourg','Brookline, Massachusetts, USA','4','',42.333473,-71.120476
'110','Miss','Edith','Corse','','Evans','','0','','36','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','',40.71455,-74.007124
'111','Mrs.','Antoinette','','','Flegenheim','Liche','0','','48','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'112','Mr.','John','Irwin','','Flynn','','0','','36','Brooklyn, New York, USA','First','1','Survived','Southampton','Brooklyn, New York, USA','5','',40.692455,-73.990364
'113','Mr.','Benjamin','Laventall','','Foreman','','0','','30','New York City, New York, USA','First','0','Died','Southampton','New York City, New York, USA','','',40.71455,-74.007124
'114','Miss','Alice','Elizabeth','','Fortune','','0','','24','Winnipeg, Manitoba, Canada','First','1','Survived','Southampton','Winnipeg, Manitoba, Canada','10','',49.89944,-97.140794
'115','Miss','Ethel','Flora','','Fortune','','0','','28','Winnipeg, Manitoba, Canada','First','1','Survived','Southampton','Winnipeg, Manitoba, Canada','10','',49.89944,-97.140794
'116','Miss','Mabel','Helen','','Fortune','','0','','23','Winnipeg, Manitoba, Canada','First','1','Survived','Southampton','Winnipeg, Manitoba, Canada','10','',49.89944,-97.140794
'117','Mr.','Charles','Alexander','','Fortune','','0','','19','Winnipeg, Manitoba, Canada','First','0','Died','Southampton','Winnipeg, Manitoba, Canada','','',49.89944,-97.140794
'118','Mr.','Mark','','','Fortune','','0','','64','Winnipeg, Manitoba, Canada','First','0','Died','Southampton','Winnipeg, Manitoba, Canada','','',49.89944,-97.140794
'119','Mrs.','Mary','','','Fortune','McDougald','0','','60','Winnipeg, Manitoba, Canada','First','1','Survived','Southampton','Winnipeg, Manitoba, Canada','10','',49.89944,-97.140794
'120','Mr.','Thomas','Parnham','','Franklin','','0','','37','London, England','First','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'121','Dr.','Henry','William','','Frauenthal','','0','','49','London, England','First','1','Survived','Southampton','New York City, New York, USA','5','',51.506325,-0.127144
'122','Mr.','Isaac','Gerald','','Frauenthal','','0','','43','London, England','First','1','Survived','Southampton','New York City, New York, USA','5','',51.506325,-0.127144
'123','Mrs.','Clara','','','Frauenthal','Heinsheimer','0','','42','London, England','First','1','Survived','Southampton','New York City, New York, USA','5','',51.506325,-0.127144
'124','Mr.','Maximilian','Josef','','Frölicher','','0','','60','Zürich, Switzerland','First','1','Survived','Cherbourg','New York City, New York, USA','5','',47.37706,8.53955
'125','Mrs.','Margaretha','Emerentia','','Frölicher','Stehli','0','','48','Zürich, Switzerland','First','1','Survived','Cherbourg','New York City, New York, USA','5','',47.37706,8.53955
'126','Miss','Hedwig','Margaritha','','Frölicher-Stehli','','0','','22','Zürich, Switzerland','First','1','Survived','Cherbourg','New York City, New York, USA','5','',47.37706,8.53955
'127','Mr.','Jacques','Heath','','Futrelle','','0','','37','Scituate, Massachusetts, USA','First','0','Died','Southampton','Scituate, Massachusetts, USA','','',42.200045,-70.772369
